date,flight_id,scale,index_url,frame_status,reference_image_url,county_name,county_url
1960-08-13,PAI-131V,['18000'],http://mil.library.ucsb.edu/ap_indexes/pai131v,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-07-07,PAI-125V-3,"['8400', '14400']",http://mil.library.ucsb.edu/ap_indexes/pai125v3,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-06-30,PAI-124V-2,['26000'],http://mil.library.ucsb.edu/ap_indexes/pai124v2,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-06-21,PAI-120V-9,['32000'],http://mil.library.ucsb.edu/ap_indexes/pai120v9,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-06-16,PAI-120V-1,"['7200', '15600', '28000']",http://mil.library.ucsb.edu/ap_indexes/pai120v1,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-05-11,C-23892,['12000'],http://mil.library.ucsb.edu/ap_indexes/c23892,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1960-05-01,C-23870,['14400'],http://mil.library.ucsb.edu/ap_indexes/c23870,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1959-10-16,PAI-114V-19,['21000'],http://mil.library.ucsb.edu/ap_indexes/pai114v19,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1959-09-29,PAI-114V-9,['6000'],http://mil.library.ucsb.edu/ap_indexes/pai114v9,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1959-06-24,AXL-1959,['20000'],http://mil.library.ucsb.edu/ap_indexes/axl1959,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1959-02-05,PAI-104V-7,['15000'],http://mil.library.ucsb.edu/ap_indexes/pai104v7,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1959-02-05,PAI-SAH-59,"['20000', '15000']",http://mil.library.ucsb.edu/ap_indexes/paisah59,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1958-12-01,C-23285,['24000'],http://mil.library.ucsb.edu/ap_indexes/c23285,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1958-08-11,PAI-99V-11,['20000'],http://mil.library.ucsb.edu/ap_indexes/pai99v11,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
